Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
mhb-anti-hairfall-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-655dd539ce7bc0376718a837.jpg?v=1702997567,5,Argan Oil Hair Mask 250ml,,,,,,,,,,,,,,,,,,,,,,
mhb-anti-hairfall-bundle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-64cceaefd070775f475b0e2b_54a0e003-0f05-4f68-97ca-1c2e87ef2b12.png?v=1702997566,6,Hair Serum 220ml,,,,,,,,,,,,,,,,,,,,,,
mhb-shea-butter-cream-anti-aging-anti-wrinkle-spf-50,MHB  Shea Butter Cream - Anti-Aging Anti-Wrinkle - SPF 50,"<p data-mce-fragment=""1"">How to Use:</p>
<p data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.1e9c62bay0PN77"" data-mce-fragment=""1"">Apply on cleansed skin during the day, and gently massage till absorbed. For best results use daily.</p>",MEMOONA HEALTH & BEAUTY (M.H.B),Health & Beauty > Personal Care > Cosmetics > Skin Care,"",FACE CARE,true,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/shea02.jpg?v=1702373429,1,"",false,,,,,,,,,,,,,,,kg,,880.00,true,,,active
mhb-shea-butter-cream-anti-aging-anti-wrinkle-spf-50,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/shea01.jpg?v=1702373429,2,"",,,,,,,,,,,,,,,,,,,,,,
12-12-sale-promo-3,12.12 SALE PROMO 3,"<p data-mce-fragment=""1"">1. Retinol Cream 50ml x 1</p>
<p>2. Shea Butter Cream x 1</p>
<p><span>3. Vitamin C Cleanser 300ml x 1 (Gift)</span></p>",MEMOONA HEALTH & BEAUTY (M.H.B),Health & Beauty > Personal Care > Cosmetics > Skin Care,"",FACE CARE,false,Title,Default Title,,,,,"",400.0,shopify,2,deny,manual,2574.00,,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/promo3.jpg?v=1702372827,1,"",false,,,,,,,,,,,,,,,kg,,1980.00,true,,,draft
12-12-sale-promo-2,12.12 SALE PROMO 2,"<p>1.<span data-mce-fragment=""1""> Charcoal Shea Butter Soap x 4</span></p>
<p><span data-mce-fragment=""1"">2. Charcoal Shea Butter Soap x 1 (Gift)</span></p>",MEMOONA HEALTH & BEAUTY (M.H.B),,"",FACE CARE,false,Title,Default Title,,,,,"",0.0,shopify,6,deny,manual,2860.00,,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/soap4.jpg?v=1702372684,1,"",false,,,,,,,,,,,,,,,kg,,2200.00,true,,,draft
12-12-sale-promo-1,12.12 SALE PROMO 1,"<p>1. Charcoal Shea Butter Soap x 1</p>
<p>2. Retinol Cream 50ml x 1</p>
<p>3. Shea Butter Sugar Scrub x 1</p>
<p>4. Shea Butter Cream x 1</p>
<p>5. Vitamin C Moisturizer 120ml x 1 (Gift)</p>",MEMOONA HEALTH & BEAUTY (M.H.B),,"",FACE CARE,false,Title,Default Title,,,,,"",0.0,shopify,10,deny,manual,4134.00,,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/newpromo.jpg?v=1702372411,1,"",false,,,,,,,,,,,,,,,kg,,3180.00,true,,,draft
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-spm-anchor-id=""0.0.0.i6.ae4c7463F6diqN"" data-mce-fragment=""1"">Experience the crisp and invigorating benefits of our Apple Cider Vinegar Sulfate-Free Shampoo and Apple Cider Vinegar Conditioner with Keratin, carefully designed to be paraben-free and conveniently packaged in 250ML bottles.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Delight in the time-honored tradition of using apple cider vinegar to revitalize your hair. Our sulfate-free shampoo gently cleanses, allowing your hair to maintain its natural oils and shine while removing buildup. Enriched with the goodness of apple cider vinegar, it balances your scalp's pH, promoting a healthy environment for hair growth and vibrancy.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Complement your cleansing routine with our Apple Cider Vinegar Conditioner infused with Keratin. Keratin is renowned for its ability to strengthen and protect hair, leaving it smoother and more resilient. This paraben-free conditioner seals the deal, locking in moisture and restoring your hair's natural luster.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Our dynamic duo offers you the best of nature and science, ensuring your hair is paraben-free and naturally beautiful. Together, they work to clarify, rejuvenate, and fortify your locks, revealing a radiant and revitalized mane that's ready to shine.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Discover the transformation with our Apple Cider Vinegar Sulfate-Free Shampoo and Apple Cider Vinegar Conditioner with Keratin - a paraben-free blend that will leave your hair looking and feeling its best. Experience the pure and refreshing benefits of apple cider vinegar for yourself.</p>
</li>
</ul>",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Hair Care > Hair Care Kits,"","Conditioner, SLS FREE SHAMPOO, SULFATE BUNDLE, SULFATE FREE BUNDLE, Sulfate Free Shampoo",true,Title,Default Title,,,,,"",200.0,shopify,9,deny,manual,2000.00,2500.00,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538f06837ace14c09789740.png?v=1698450310,1,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,false,,,,,,,,,,,,,,,kg,,1000.00,true,,,active
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538ed7137ace14c097896df.png?v=1698503467,2,"",,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-65318ccc13026534f23ebabe_df5a1a24-8920-4f3b-b8bf-4ce2510fa072.png?v=1698503467,3,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6537e529ead659ebd7065446.png?v=1698503467,4,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538ed3837ace14c097896d4.png?v=1698503467,5,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/MHBAPPLECIDERBUNDLE.png?v=1698503467,6,Apple Cider Vinegar Sulfate-Free Shampoo &  Apple Cider Vinegar Conditioner with Keratin  - Paraben Free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/AppleCiderVinegarConditionerwithKeratinParabenFree_aa3187de-b558-4886-96ca-1b116b60e64c.png?v=1698503467,7,Apple Cider Vinegar Conditioner with Keratin Paraben Free,,,,,,,,,,,,,,,,,,,,,,
apple-cider-vinegar-sulfate-free-shampoo-apple-cider-vinegar-conditioner-with-keratin-paraben-free-250ml-each,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/AppleCiderVinegarSulfate-FreeShampoowithDHTBlocker_6858808a-faaa-4af5-bf7b-49bab7e7a92a.png?v=1698503467,8,Apple Cider Vinegar Sulfate-Free Shampoo with DHT Blocker,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-spm-anchor-id=""0.0.0.i14.55bb7463Vs6txw"" data-mce-fragment=""1"">Introducing our Red Onion Black Seed Oil Sulfate-Free Shampoo and Red Onion Conditioner with Biotin, meticulously crafted to be paraben-free and packed in convenient 250ML bottles.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Unearth the secrets of nature's finest ingredients for your hair care regimen. The dynamic duo of Red Onion and Black Seed Oil, both celebrated for their natural healing and strengthening properties, combine to give your hair a luxurious makeover.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Our sulfate-free shampoo cleanses your hair gently yet effectively, allowing your natural oils to thrive and reducing hair damage. It's enriched with the power of Red Onion, renowned for promoting hair growth, improving hair texture, and reducing hair fall.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">The Red Onion Conditioner is fortified with Biotin, a key nutrient known for its role in maintaining healthy hair. It strengthens each strand, enhances volume, and adds a natural shine.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Both products are paraben-free, ensuring that your hair receives pure, natural goodness without any harmful additives.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Experience the transformation as these botanical wonders fortify, nourish, and revitalize your hair. With this dynamic duo, you'll embrace stronger, shinier, and paraben-free hair that exudes vitality. Elevate your hair care routine and indulge in the power of Red Onion, Black Seed Oil, and Biotin.</p>
</li>
</ul>",MHB - MEMOONA HEALTH & BEAUTY,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo & Conditioner Sets,"","Conditioner, SULFATE BUNDLE, SULFATE FREE BUNDLE, Sulfate Free Shampoo",true,Title,Default Title,,,,,"",200.0,shopify,8,deny,manual,2080.00,2500.00,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-65311bd4bbde767f503585d2.png?v=1698450310,1,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,false,,,,,,,,,,,,,,,kg,,1000.00,true,,,active
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538ec8637ace14c097896bf.png?v=1698503447,2,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6533c0441945d5f1c37fb002_e723f391-668f-4a53-8654-099b2d7620ed.png?v=1698503447,3,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538ecd237ace14c097896c7.png?v=1698503447,4,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538155fc4b4638d17c4fcd0.png?v=1698503447,5,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/MHBREDONIONBUNDLE.png?v=1698503447,6,Red Onion Black Seed Oil Sulfate-Free Shampoo &  Red Onion Conditioner with Biotin - Paraben free - 250ML Each,,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/RedOnionBlackSeedOilSulfateFreeShampoo-DHTBlocker_c99ff20a-d8da-4ee1-96f6-fc7cf9236ffc.png?v=1698503447,7,"",,,,,,,,,,,,,,,,,,,,,,
red-onion-black-seed-oil-sulfate-free-shampoo-red-onion-conditioner-with-biotin,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/RedOnionConditionerwithBiotinParabenFree_cb42bd42-f909-4e43-8540-577030813eea.png?v=1698503447,8,"",,,,,,,,,,,,,,,,,,,,,,
argan-oil-sulfate-free-shampoo-conditioner-with-shea-butter,Argan Oil Sulfate-Free Shampoo & Conditioner with Shea Butter - Paraben free -  250ML Each,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Indulge your hair with the ultimate pampering experience with our Argan Oil Sulfate-Free Shampoo &amp; Conditioner, enriched with nourishing Shea Butter and meticulously crafted to be paraben-free.</p>
<p data-spm-anchor-id=""0.0.0.i2.7d927463fxXhha"" data-mce-fragment=""1"">Unleash the power of Argan Oil, a liquid gold hailing from Morocco, renowned for its exceptional ability to moisturize and revitalize hair from root to tip. Our sulfate-free formula gently cleanses, preserving your hair's natural oils and color while reducing frizz, leaving your locks feeling irresistibly soft and lustrous.</p>
<p data-mce-fragment=""1"">Infused with the richness of Shea Butter, known for its deep conditioning properties, this duo offers intense hydration and tames unruly tresses, making your hair more manageable and touchably smooth.</p>
<p data-spm-anchor-id=""0.0.0.i1.7d927463fxXhha"" data-mce-fragment=""1"">Our 250ML bottles ensure a long-lasting supply of luxurious care for your hair. Revel in the exquisite blend of natural ingredients, making each wash a revitalizing ritual, leaving your hair beautifully nourished, paraben-free, and radiantly healthy.</p>
<p data-mce-fragment=""1"">Rediscover the brilliance of your hair with our Argan Oil Sulfate-Free Shampoo &amp; Conditioner with Shea Butter, and embrace the lush, silky, and paraben-free hair you deserve.</p>
</li>
</ul>",MHB - MEMOONA HEALTH & BEAUTY,,"","ARGAN OIL, Conditioner, SULFATE BUNDLE, SULFATE FREE BUNDLE, Sulfate Free Shampoo",true,Title,Default Title,,,,,"",200.0,shopify,9,deny,manual,1950.00,2400.00,true,false,"",https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538f24c37ace14c0978975a.png?v=1698450310,1,Argan Oil Sulfate-Free Shampoo & Conditioner with Shea Butter - Paraben free -  250ML Each,false,,,,,,,,,,,,,,,kg,,1000.00,true,,,active
argan-oil-sulfate-free-shampoo-conditioner-with-shea-butter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538edef37ace14c097896f6.png?v=1698503481,2,Argan Oil Sulfate-Free Shampoo & Conditioner with Shea Butter - Paraben free -  250ML Each,,,,,,,,,,,,,,,,,,,,,,
argan-oil-sulfate-free-shampoo-conditioner-with-shea-butter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6533b5401945d5f1c37fafe4_c469bdc1-4f4e-470f-aff2-2b7f3cfd8135.png?v=1698503481,3,Argan Oil Sulfate-Free Shampoo & Conditioner with Shea Butter - Paraben free -  250ML Each,,,,,,,,,,,,,,,,,,,,,,
argan-oil-sulfate-free-shampoo-conditioner-with-shea-butter,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0516/1677/6382/files/main-canvas-6538ed9e37ace14c097896ec.png?v=1698503481,4,Argan Oil Sulfate-Free Shampoo & Conditioner with Shea Butter - Paraben free -  250ML Each,,,,,,,,,,,,,,,,,,,,,,
